species,longitude,latitude,eventDate,coordinateUncertaintyM,basisOfRecord,license
Macropus giganteus,150.74884,-34.939719,2020-12-04,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.4834,-36.90906,2021-10-25,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,145.07947,-37.62546,2024-07-23,1000.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.19562,-38.13747,2022-10-10,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.061004,-32.4135,2021-07-26,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,142.412202,-37.10984,2023-08-15,12.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.71596,-37.72893,2023-11-10,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,147.28109,-35.16772,2020-11-16,20.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.3496,-37.2258,2021-05-14,120.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,146.80178,-35.67099,2020-05-04,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,145.49049,-37.0911,2023-08-13,20.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,151.30608,-32.76846,2022-03-23,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.09,-31.07704,2023-10-11,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.50344,-33.2111,2020-01-18,896.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.58475,-32.891873,2024-11-28,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.93249,-34.52836,2020-10-02,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.281787,-35.01839,2025-03-15,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.1087,-37.84876,2023-06-08,50.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.29181,-37.25395,2024-02-10,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,144.74457,-36.85742,2021-10-31,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,143.33526,-37.15044,2025-03-12,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.19656,-34.80692,2022-07-01,6.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.216341,-35.691962,2023-02-12,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.08636,-34.78522,2025-04-06,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.972077,-34.270258,2024-05-23,300.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.573304,-32.890667,2025-07-06,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.168596,-35.078201,2023-10-05,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.045302,-32.9914,2020-09-25,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.988092,-35.090447,2023-10-23,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.84932,-35.56359,2020-03-23,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.25478,-30.09744,2021-05-13,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.163243,-30.1771,2021-09-01,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.98557,-37.1679,2021-10-23,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,144.30133,-37.32808,2023-07-07,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,148.63587,-34.13959,2020-03-21,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.82376,-37.25065,2021-08-15,25.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.81026,-33.708108,2024-03-02,20.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.153681,-32.6529,2022-04-15,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.02218,-38.40058,2020-09-06,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.237074,-35.352029,2025-06-06,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.831829,-33.61309,2025-02-11,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.121554,-36.042089,2024-11-14,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.85095,-30.26817,2022-07-22,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,141.11042,-38.02001,2023-10-30,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.19963,-30.54778,2024-02-26,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.29866,-30.35783,2022-06-02,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.39991,-37.72804,2021-10-28,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.2634,-30.407971,2025-06-18,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,146.9188,-36.066804,2024-08-10,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.3542,-35.160027,2023-11-07,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.7049,-37.80209,2020-07-22,5.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,141.51689,-37.92349,2024-10-08,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.61916,-38.46057,2023-10-12,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,153.154558,-30.17769,2025-06-28,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.31231,-36.10503,2023-11-11,50.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,147.8741,-35.21889,2020-04-05,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.997558,-33.673818,2024-03-02,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
