species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-17.54016,145.30883,100.0,OCCURRENCE,2010-07-19
Macropus giganteus,-17.5362,145.4768,200.0,OCCURRENCE,1995-02-15
Macropus giganteus,-21.349664,148.121343,,HUMAN_OBSERVATION,2023-09-08
Macropus giganteus,-18.203647,144.575361,,HUMAN_OBSERVATION,2017-04-23
Macropus giganteus,-17.47345,145.45389,900.0,OCCURRENCE,1982-01-10
Macropus giganteus,-34.40075,139.15902,500.0,HUMAN_OBSERVATION,2016-05-26
Macropus giganteus,-19.51075,144.17928,,HUMAN_OBSERVATION,
Macropus giganteus,-19.37332,144.33001,100.0,OCCURRENCE,
Macropus giganteus,-34.74165,139.0327,17.0,HUMAN_OBSERVATION,2025-10-01
Macropus giganteus,-18.327467,144.607524,10.0,HUMAN_OBSERVATION,2025-04-19
Macropus giganteus,-32.728233,138.105846,636.0,HUMAN_OBSERVATION,2025-08-09
Macropus giganteus,-17.283426,145.645703,,HUMAN_OBSERVATION,2016-04-10
Macropus giganteus,-18.43734,145.31969,20.0,OCCURRENCE,2020-09-08
Macropus giganteus,-14.475,143.40673,100.0,OCCURRENCE,2013-05-05
Macropus giganteus,-20.580442,148.463415,8.0,HUMAN_OBSERVATION,2025-01-27
Macropus giganteus,-17.49862,145.2858,100.0,OCCURRENCE,2009-06-04
Macropus giganteus,-18.30873,145.35833,50.0,OCCURRENCE,
Macropus giganteus,-17.53568,145.30719,100.0,OCCURRENCE,2008-09-03
Macropus giganteus,-18.20039,144.56972,100.0,OCCURRENCE,2006-10-15
Macropus giganteus,-18.66512,145.10111,1800.0,OCCURRENCE,1986-06-07
Macropus giganteus,-18.87471,143.52473,100.0,OCCURRENCE,2010-08-13
Macropus giganteus,-34.962233,138.601971,,HUMAN_OBSERVATION,2020-04-14
Macropus giganteus,-21.6901,146.71779,1800.0,OCCURRENCE,1990-05-16
Macropus giganteus,-20.61755,141.89863,300.0,OCCURRENCE,2017-03-27
Macropus giganteus,-18.23734,145.47639,50.0,OCCURRENCE,2002-09-01
Macropus giganteus,-19.265343,146.650438,29.0,HUMAN_OBSERVATION,2026-01-29
Macropus giganteus,-20.68595,146.18444,900.0,OCCURRENCE,1986-03-28
