series,samplePointCount,sourceFile,year,month,monthName,temperatureC,precipitationMm,validTemperaturePointCount,validRainfallPointCount
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,11,Nov,20.7,95.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2024,12,Dec,22.6,48.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,1,Jan,22.3,151.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,2,Feb,22.5,57.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,3,Mar,22.0,135.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,4,Apr,18.8,110.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,5,May,15.4,208.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,6,Jun,11.3,32.5,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,7,Jul,11.4,133.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,8,Aug,12.4,259.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,9,Sep,15.6,98.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,10,Oct,18.7,35.6,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,11,Nov,19.6,60.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2025,12,Dec,21.3,45.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,1,Jan,22.6,132.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,2,Feb,22.8,102.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,3,Mar,21.1,129.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,4,Apr,17.7,31.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,5,May,16.0,120.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,6,Jun,13.7,58.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2026,7,Jul,12.1,66.1,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,1,Jan,21.3,65.3,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,2,Feb,19.8,196.2,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,3,Mar,16.9,83.1,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,4,Apr,14.3,87.7,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,5,May,10.3,59.5,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,6,Jun,8.8,46.2,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,7,Jul,8.5,135.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,8,Aug,8.6,122.8,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,9,Sep,12.1,43.3,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,10,Oct,14.6,125.7,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,11,Nov,17.8,63.0,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2020,12,Dec,17.6,89.1,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,1,Jan,19.4,94.0,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,2,Feb,18.6,87.2,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,3,Mar,16.7,192.0,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,4,Apr,13.6,19.2,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,5,May,11.0,115.5,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,6,Jun,8.7,93.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,7,Jul,8.0,67.0,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,8,Aug,9.3,85.3,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,9,Sep,11.4,81.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,10,Oct,13.1,83.1,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,11,Nov,14.8,176.6,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2021,12,Dec,17.6,92.6,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,1,Jan,20.6,146.2,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,2,Feb,18.9,98.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,3,Mar,17.8,242.8,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,4,Apr,14.8,130.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,5,May,11.3,73.6,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,6,Jun,7.9,48.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,7,Jul,7.8,165.6,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,8,Aug,9.5,96.4,300,300
common-wombat,300,cleaned_marsupials_maplibre_common-wombat.geojson,2022,9,Sep,10.9,112.5,300,300
